<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20191118,5508.00,5899.00,5508.00,5640.00,34038253309,6035309,985,D,5797.00,5689.00
Zagros.Kosar.Power,20191117,5799.00,5958.00,5791.00,5797.00,19412640925,3348524,345,D,6095.00,5791.00
Zagros.Kosar.Power,20191116,6177.00,6177.00,5886.00,6095.00,56404507706,9254607,1823,D,5883.00,5960.00
Zagros.Kosar.Power,20191113,5715.00,5932.00,5557.00,5883.00,53512291056,9096548,1461,D,5650.00,5932.00
Zagros.Kosar.Power,20191112,5700.00,5799.00,5559.00,5650.00,37315162524,6604927,1429,D,5748.00,5640.00
Zagros.Kosar.Power,20191111,5870.00,5926.00,5585.00,5748.00,32406800463,5637590,1335,D,5679.00,5618.00
Zagros.Kosar.Power,20191110,5787.00,5890.00,5400.00,5679.00,52030910443,9162469,1787,D,5619.00,5820.00
Zagros.Kosar.Power,20191109,5600.00,5625.00,5521.00,5619.00,26875495836,4783185,845,D,5358.00,5625.00
Zagros.Kosar.Power,20191105,5000.00,5462.00,4998.00,5358.00,33977519747,6341413,1183,D,5202.00,5462.00
Zagros.Kosar.Power,20191104,5360.00,5360.00,5023.00,5202.00,20096471357,3862892,1071,D,5254.00,5067.00
Zagros.Kosar.Power,20191103,5021.00,5290.00,4895.00,5254.00,39568743496,7530536,1091,D,5039.00,5290.00
Zagros.Kosar.Power,20191102,5250.00,5250.00,4800.00,5039.00,21889569340,4344242,1254,D,5013.00,5010.00
Zagros.Kosar.Power,20191030,4988.00,5017.00,4890.00,5013.00,22488679362,4486220,846,D,4779.00,5017.00
Zagros.Kosar.Power,20191028,4649.00,4875.00,4600.00,4779.00,23077101112,4829257,1082,D,4643.00,4875.00
Zagros.Kosar.Power,20191026,4852.00,4900.00,4612.00,4643.00,17985334981,3873762,946,D,4854.00,4613.00
Zagros.Kosar.Power,20191023,5066.00,5140.00,4813.00,4854.00,19500905205,4017099,999,D,5066.00,4851.00
Zagros.Kosar.Power,20191022,5110.00,5154.00,4753.00,5066.00,34986029570,6905649,1327,D,4909.00,4974.00
